expressao,frequencia,tipo
meu filho,3,bigram
com o,3,bigram
a fazer,2,bigram
falar contigo,2,bigram
orgulhosa entrevistado,2,bigram
os outros,2,bigram
vejo isso,2,bigram
isso em,2,bigram
e sim,2,bigram
isso é,2,bigram
de ti,2,bigram
a gente,2,bigram
mesmo quando,2,bigram
o meu,2,bigram
que tu,2,bigram
essa força,2,bigram
mesmo assim,2,bigram
que é,2,bigram
entrevistador oi,1,bigram
oi mãe,1,bigram
mãe tudo,1,bigram
tudo bem,1,bigram
bem estou,1,bigram
estou a,1,bigram
fazer um,1,bigram
um trabalho,1,bigram
trabalho da,1,bigram
da universidade,1,bigram
universidade e,1,bigram
e precisava,1,bigram
precisava mesmo,1,bigram
mesmo falar,1,bigram
contigo é,1,bigram
é só,1,bigram
só uma,1,bigram
uma entrevista,1,bigram
entrevista rápida,1,bigram
rápida coisa,1,bigram
coisa de,1,bigram
de uns,1,bigram
uns 20,1,bigram
20 minutos,1,bigram
minutos pode,1,bigram
pode ser,1,bigram
ser entrevistado,1,bigram
entrevistado oi,1,bigram
oi meu,1,bigram
filho tudo,1,bigram
tudo sim,1,bigram
sim graças,1,bigram
graças a,1,bigram
a deus,1,bigram
deus claro,1,bigram
claro que,1,bigram
que sim,1,bigram
sim diz,1,bigram
diz lá,1,bigram
lá entrevistador,1,bigram
entrevistador então,1,bigram
então queria,1,bigram
queria começar,1,bigram
começar com,1,bigram
com uma,1,bigram
uma pergunta,1,bigram
pergunta mais,1,bigram
mais emocional,1,bigram
emocional que,1,bigram
que característica,1,bigram
característica herdaste,1,bigram
herdaste de,1,bigram
de um,1,bigram
um dos,1,bigram
dos teus,1,bigram
teus pais,1,bigram
pais e,1,bigram
e da,1,bigram
da qual,1,bigram
qual te,1,bigram
te sentes,1,bigram
sentes orgulhosa,1,bigram
entrevistado hmm,1,bigram
hmm boa,1,bigram
boa pergunta,1,bigram
pergunta acho,1,bigram
acho que,1,bigram
que herdei,1,bigram
herdei da,1,bigram
da minha,1,bigram
minha mãe,1,bigram
mãe a,1,bigram
a empatia,1,bigram
empatia ela,1,bigram
ela era,1,bigram
era uma,1,bigram
uma mulher,1,bigram
mulher de,1,bigram
de coração,1,bigram
coração grande,1,bigram
grande mesmo,1,bigram
mesmo sem,1,bigram
sem ter,1,bigram
ter muito,1,bigram
muito sempre,1,bigram
sempre ajudava,1,bigram
ajudava os,1,bigram
outros família,1,bigram
família vizinhos,1,bigram
vizinhos até,1,bigram
até pessoas,1,bigram
pessoas que,1,bigram
que ela,1,bigram
ela nem,1,bigram
nem conhecia,1,bigram
conhecia bem,1,bigram
bem e,1,bigram
e eu,1,bigram
eu vejo,1,bigram
em mim,1,bigram
mim também,1,bigram
também às,1,bigram
às vezes,1,bigram
vezes até,1,bigram
até demais,1,bigram
demais risos,1,bigram
risos sempre,1,bigram
sempre fui,1,bigram
fui de,1,bigram
de acolher,1,bigram
acolher ouvir,1,bigram
ouvir preocupar-me,1,bigram
preocupar-me com,1,bigram
com os,1,bigram
outros e,1,bigram
sim isso,1,bigram
é algo,1,bigram
algo que,1,bigram
que me,1,bigram
me dá,1,bigram
dá muito,1,bigram
muito orgulho,1,bigram
orgulho porque,1,bigram
porque hoje,1,bigram
hoje em,1,bigram
em dia,1,bigram
dia o,1,bigram
o mundo,1,bigram
mundo tá,1,bigram
tá muito,1,bigram
muito frio,1,bigram
frio muito,1,bigram
muito egoísta,1,bigram
egoísta entrevistador,1,bigram
entrevistador é,1,bigram
é verdade,1,bigram
verdade lembro,1,bigram
lembro bem,1,bigram
bem de,1,bigram
ti a,1,bigram
a cuidar,1,bigram
cuidar de,1,bigram
de toda,1,bigram
toda a,1,bigram
gente mesmo,1,bigram
quando estavas,1,bigram
estavas cansada,1,bigram
cansada entrevistado,1,bigram
entrevistado pois,1,bigram
pois é,1,bigram
é a,1,bigram
gente aprende,1,bigram
aprende com,1,bigram
o exemplo,1,bigram
exemplo e,1,bigram
e ela,1,bigram
ela foi,1,bigram
foi o,1,bigram
meu entrevistador,1,bigram
entrevistador e,1,bigram
e agora,1,bigram
agora ao,1,bigram
ao contrário,1,bigram
contrário tem,1,bigram
tem alguma,1,bigram
alguma característica,1,bigram
característica tua,1,bigram
tua que,1,bigram
tu achas,1,bigram
achas que,1,bigram
que eu,1,bigram
eu ou,1,bigram
ou a,1,bigram
a minha,1,bigram
minha irmã,1,bigram
irmã herdámos,1,bigram
herdámos e,1,bigram
e que,1,bigram
que te,1,bigram
te deixa,1,bigram
deixa orgulhosa,1,bigram
entrevistado ahhh,1,bigram
ahhh com,1,bigram
com certeza,1,bigram
certeza a,1,bigram
a tua,1,bigram
tua força,1,bigram
força de,1,bigram
